,id,file,emotion_id,emotion,phase
1310,D05E02P110S07T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P110S07T01.flac,2,Sadness,1
1311,D05E00P008S12T02,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P008S12T02.flac,0,Neutral,2
1312,D05E05P003S11T02,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P003S11T02.flac,5,Anger,2
1313,D05E00P008S17T02,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P008S17T02.flac,0,Neutral,2
1314,D05E01P102S16T02,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P102S16T02.flac,1,Happiness,2
1315,D05E02P101S11T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P101S11T01.flac,2,Sadness,1
1316,D05E01P113S12T01,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P113S12T01.flac,1,Happiness,2
1317,D05E05P005S17T02,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P005S17T02.flac,5,Anger,2
1318,D05E04P103S15T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P103S15T01.flac,4,Questioning,1
1319,D05E02P005S07T02,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P005S07T02.flac,2,Sadness,2
1320,D05E01P003S17T02,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P003S17T02.flac,1,Happiness,2
1321,D05E04P001S05T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P001S05T01.flac,4,Questioning,1
1322,D05E00P111S08T02,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P111S08T02.flac,0,Neutral,2
1323,D05E02P007S03T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P007S03T01.flac,2,Sadness,1
1324,D05E02P004S05T03,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P004S05T03.flac,2,Sadness,2
1325,D05E05P102S07T01,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P102S07T01.flac,5,Anger,2
1326,D05E02P007S11T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P007S11T01.flac,2,Sadness,1
1327,D05E01P101S09T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P101S09T01.flac,1,Happiness,1
1328,D05E02P006S10T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P006S10T01.flac,2,Sadness,1
1329,D05E02P003S02T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P003S02T01.flac,2,Sadness,1
1330,D05E00P109S04T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P109S04T01.flac,0,Neutral,1
1331,D05E02P101S13T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P101S13T01.flac,2,Sadness,1
1332,D05E03P109S06T02,ksu_emotions/data/SPEECH/Phase_2/E03/D05E03P109S06T02.flac,3,Surprise,2
1333,D05E05P001S16T01,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P001S16T01.flac,5,Anger,2
1334,D05E05P008S05T01,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P008S05T01.flac,5,Anger,2
1335,D05E01P009S03T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P009S03T01.flac,1,Happiness,1
1336,D05E02P109S12T03,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P109S12T03.flac,2,Sadness,2
1337,D05E01P003S18T03,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P003S18T03.flac,1,Happiness,2
1338,D05E02P008S17T03,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P008S17T03.flac,2,Sadness,2
1339,D05E00P009S05T02,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P009S05T02.flac,0,Neutral,2
1340,D05E05P111S11T01,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P111S11T01.flac,5,Anger,2
1341,D05E05P001S15T01,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P001S15T01.flac,5,Anger,2
