,id,file,emotion_id,emotion,phase
655,D05E03P102S11T03,ksu_emotions/data/SPEECH/Phase_2/E03/D05E03P102S11T03.flac,3,Surprise,2
656,D05E00P005S07T03,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P005S07T03.flac,0,Neutral,2
657,D05E00P102S10T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P102S10T01.flac,0,Neutral,1
658,D05E03P106S08T01,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P106S08T01.flac,3,Surprise,1
659,D05E02P101S07T02,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P101S07T02.flac,2,Sadness,2
660,D05E02P005S11T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P005S11T01.flac,2,Sadness,1
661,D05E00P007S10T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P007S10T01.flac,0,Neutral,1
662,D05E04P103S01T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P103S01T01.flac,4,Questioning,1
663,D05E00P104S14T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P104S14T01.flac,0,Neutral,1
664,D05E02P004S09T02,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P004S09T02.flac,2,Sadness,2
665,D05E05P102S11T02,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P102S11T02.flac,5,Anger,2
666,D05E03P113S15T01,ksu_emotions/data/SPEECH/Phase_2/E03/D05E03P113S15T01.flac,3,Surprise,2
667,D05E04P006S04T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P006S04T01.flac,4,Questioning,1
668,D05E00P103S03T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P103S03T01.flac,0,Neutral,1
669,D05E02P102S10T03,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P102S10T03.flac,2,Sadness,2
670,D05E05P009S11T01,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P009S11T01.flac,5,Anger,2
671,D05E04P109S14T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P109S14T01.flac,4,Questioning,1
672,D05E02P008S01T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P008S01T01.flac,2,Sadness,1
673,D05E04P001S11T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P001S11T01.flac,4,Questioning,1
674,D05E03P010S01T01,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S01T01.flac,3,Surprise,1
675,D05E00P004S16T02,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P004S16T02.flac,0,Neutral,2
676,D05E04P106S12T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P106S12T01.flac,4,Questioning,1
677,D05E02P110S16T03,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P110S16T03.flac,2,Sadness,2
678,D05E01P113S16T02,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P113S16T02.flac,1,Happiness,2
679,D05E01P101S08T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P101S08T01.flac,1,Happiness,1
680,D05E00P005S06T02,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P005S06T02.flac,0,Neutral,2
681,D05E04P009S08T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P009S08T01.flac,4,Questioning,1
682,D05E00P104S16T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P104S16T01.flac,0,Neutral,1
683,D05E02P003S06T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P003S06T01.flac,2,Sadness,1
