,id,file,emotion_id,emotion,phase
1965,D05E03P009S10T02,ksu_emotions/data/SPEECH/Phase_2/E03/D05E03P009S10T02.flac,3,Surprise,2
1966,D05E00P104S05T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P104S05T01.flac,0,Neutral,1
1967,D05E01P005S06T03,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P005S06T03.flac,1,Happiness,2
1968,D05E02P008S15T03,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P008S15T03.flac,2,Sadness,2
1969,D05E01P105S10T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P105S10T01.flac,1,Happiness,1
1970,D05E01P001S15T02,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P001S15T02.flac,1,Happiness,2
1971,D05E00P006S16T03,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P006S16T03.flac,0,Neutral,2
1972,D05E05P101S07T02,ksu_emotions/data/SPEECH/Phase_2/E05/D05E05P101S07T02.flac,5,Anger,2
1973,D05E02P101S08T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P101S08T01.flac,2,Sadness,1
1974,D05E01P005S02T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P005S02T01.flac,1,Happiness,1
1975,D05E00P108S10T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P108S10T01.flac,0,Neutral,1
1976,D05E01P109S18T02,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P109S18T02.flac,1,Happiness,2
1977,D05E01P008S12T03,ksu_emotions/data/SPEECH/Phase_2/E01/D05E01P008S12T03.flac,1,Happiness,2
1978,D05E04P002S10T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P002S10T01.flac,4,Questioning,1
1979,D05E00P009S12T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P009S12T01.flac,0,Neutral,1
1980,D05E01P002S11T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P002S11T01.flac,1,Happiness,1
1981,D05E02P105S12T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P105S12T01.flac,2,Sadness,1
1982,D05E01P103S09T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P103S09T01.flac,1,Happiness,1
1983,D05E00P109S07T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P109S07T01.flac,0,Neutral,1
1984,D05E01P008S15T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P008S15T01.flac,1,Happiness,1
1985,D05E03P102S06T03,ksu_emotions/data/SPEECH/Phase_2/E03/D05E03P102S06T03.flac,3,Surprise,2
1986,D05E00P104S01T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P104S01T01.flac,0,Neutral,1
1987,D05E02P102S06T03,ksu_emotions/data/SPEECH/Phase_2/E02/D05E02P102S06T03.flac,2,Sadness,2
1988,D05E00P102S09T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P102S09T01.flac,0,Neutral,1
1989,D05E04P010S02T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P010S02T01.flac,4,Questioning,1
1990,D05E03P104S10T01,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S10T01.flac,3,Surprise,1
1991,D05E03P009S05T01,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P009S05T01.flac,3,Surprise,1
1992,D05E00P008S15T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P008S15T01.flac,0,Neutral,1
1993,D05E02P109S14T01,ksu_emotions/data/SPEECH/Phase_1/E02/D05E02P109S14T01.flac,2,Sadness,1
1994,D05E04P006S02T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P006S02T01.flac,4,Questioning,1
1995,D05E03P006S18T02,ksu_emotions/data/SPEECH/Phase_2/E03/D05E03P006S18T02.flac,3,Surprise,2
1996,D05E03P007S16T01,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P007S16T01.flac,3,Surprise,1
1997,D05E00P110S14T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P110S14T01.flac,0,Neutral,1
1998,D05E03P006S15T03,ksu_emotions/data/SPEECH/Phase_2/E03/D05E03P006S15T03.flac,3,Surprise,2
1999,D05E04P007S08T01,ksu_emotions/data/SPEECH/Phase_1/E04/D05E04P007S08T01.flac,4,Questioning,1
2000,D05E00P008S12T03,ksu_emotions/data/SPEECH/Phase_2/E00/D05E00P008S12T03.flac,0,Neutral,2
2001,D05E00P002S05T01,ksu_emotions/data/SPEECH/Phase_1/E00/D05E00P002S05T01.flac,0,Neutral,1
2002,D05E01P003S05T01,ksu_emotions/data/SPEECH/Phase_1/E01/D05E01P003S05T01.flac,1,Happiness,1
2003,D05E03P103S10T01,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P103S10T01.flac,3,Surprise,1
